Variable,Coeficiente,Std. Error,t-Statistic,P-Value
state_23,31166121346.757614,58416858453.303375,0.5335124512330776,0.5936824963814522
state_24,-216104125964.4494,205336566690.70273,-1.0524385863038501,0.29260609845418756
state_25,216104125963.0524,205336566690.70132,1.0524385862970538,0.2926060984573042
state_26,11638172201.399734,56916790364.67299,0.20447695885225625,0.8379820599393847
state_27,-11638172202.39765,56916790364.6739,-0.20447695886978587,0.8379820599256875
state_28,-983558056622.4895,2182895238712.7185,-0.45057501577698544,0.6522988444108729
state_29,983558056620.9462,2182895238712.6438,0.45057501577629383,0.6522988444113715
state_30,2006518454730.6333,2883644380747.141,0.6958272899832233,0.48654190897256844
state_31,-2006518454730.9917,2883644380747.0747,-0.6958272899833636,0.48654190897248006
state_32,-79747475693.91501,91565703641.27036,-0.8709317192203757,0.3837977877452965
state_33,79747475692.16049,91565703641.26915,0.8709317192012259,0.3837977877557527
state_34,1944585800317.5845,2871321329717.302,0.6772442290563976,0.4982557690493271
state_35,-1944585800317.4407,2871321329717.2144,-0.6772442290563682,0.49825576904934576
state_36,2657709615815.8174,2147971031980.5796,1.2373116658678693,0.2159802245596028
state_37,-2657709615816.7285,2147971031980.4783,-1.2373116658683518,0.2159802245594239
state_38,792242734.000849,70460046552.94466,0.011243857657765623,0.9910289567369477
state_39,-792242735.6646096,70460046552.9446,-0.011243857681378455,0.9910289567181088
state_40,-20836450063.22643,92588669970.02213,-0.22504319448559684,0.8219470685523433
state_41,20836450059.574196,92588669970.02217,0.22504319444615095,0.8219470685830293
state_42,-210515734076.50818,144586005319.84854,-1.4559896970029154,0.14540500479829924
state_44,210515734076.20117,144586005319.846,1.4559896970008175,0.14540500479887913
state_45,-35295362825.06583,70865996706.3214,-0.49805780579556014,0.6184466266162869
state_46,35295362823.915306,70865996706.31987,0.4980578057793357,0.6184466266277222
state_47,1335525023.976689,40272591679.49739,0.033162132564132925,0.9735454963984216
state_48,-1335525027.0593112,40272591679.496414,-0.03316213264067765,0.9735454963373817
state_49,14977328878.014854,103717999243.92416,0.14440433663583452,0.8851820765786056
state_50,-14977328881.620562,103717999243.92342,-0.14440433667060007,0.8851820765511547
state_51,2588758967.193948,97130180121.14714,0.026652467481941014,0.9787370866647931
state_53,-2588758966.461527,97130180121.14648,-0.026652467474400584,0.9787370866708072
state_54,48477315863.839096,227968834787.25815,0.21264887329480106,0.8316021645078263
state_55,-48477315864.18599,227968834787.25467,-0.21264887329632598,0.8316021645066368
state_56,0.5479701920955429,0.07015547558212865,7.810797197918681,5.850839243208764e-15
